id,tipo,nodo_inicial,destino,distancia_recorrida_m,tiempo_total_s,tiempo_evacuado_s,zona_evac_reached,evacuado,velocidad_promedio_m_s,tiempo_reaccion_s
0,normal,1303897599,1303897599,2797.935000000097,2015,2014.0,1303897599.0,True,1.3885533498759786,6.082971979551177
1,abuelito,1303897599,1303897599,411.69800000000004,425,424.0,1303897599.0,True,0.9687011764705883,12.659253615425028
2,normal,6799782258,3659056983,3486.0699999996946,3600,,,False,0.9683527777776929,1.8870909806819502
3,normal,1303897599,1303897599,1937.096000000045,1394,1393.0,1303897599.0,True,1.3895954088952978,9.727399598656572
4,normal,279576332,1303897599,3920.4899999998197,3600,,,False,1.08902499999995,3.9388743666847748
5,normal,3659056983,3659056983,310.3249999999999,225,224.0,3659056983.0,True,1.3792222222222217,2.706036709756936
6,normal,3659056983,3659056983,1590.5100000000236,1229,1228.0,3659056983.0,True,1.2941497152156416,2.771722542970847
7,abuelito,1303897599,1303897599,1676.4049999999945,2385,2384.0,1303897599.0,True,0.7028951781970627,20.128688499946655
8,normal,3659056983,3659056983,2841.871000000051,2251,2250.0,3659056983.0,True,1.2624926699245007,8.517792976468103
9,abuelito,1303897599,1303897599,2908.503,3389,3388.0,1303897599.0,True,0.8582186485688994,19.241492572033547
10,normal,3659056983,3659056983,414.81599999999787,305,304.0,3659056983.0,True,1.3600524590163865,7.913715353902992
11,normal,3659056983,3659056983,473.2739999999967,357,356.0,3659056983.0,True,1.3256974789915874,7.719819023389158
12,normal,1303897599,1303897599,3527.274999999774,3482,3481.0,1303897599.0,True,1.0130025847213595,5.757172711892059
13,normal,1303897599,1303897599,1774.6280000000377,1304,1303.0,1303897599.0,True,1.3609110429448141,1.4234484452071061
14,normal,1303897599,1303897599,2663.8510000000515,2527,2526.0,1303897599.0,True,1.0541555203799176,2.496377386658387
15,normal,3659056983,3659056983,2858.753000000079,2625,2624.0,3659056983.0,True,1.089048761904792,4.224639320717257
16,normal,3659056983,3659056983,4131.804000000111,3165,3164.0,3659056983.0,True,1.305467298578234,3.2225187228025365
17,normal,3988352341,1303897599,3823.3999999998573,3600,,,False,1.062055555555516,9.819860622310465
18,normal,3659056983,3659056983,2347.223999999976,1967,1966.0,3659056983.0,True,1.1933014743263732,0.39552102004050127
19,normal,1303897599,1303897599,2700.4480000000885,1964,1963.0,1303897599.0,True,1.3749735234216336,6.544441453808778
20,normal,1303897599,1303897599,3350.515999999809,3218,3217.0,1303897599.0,True,1.041179614667436,5.0888018209104136
21,normal,3659056983,3659056983,2698.5000000000955,1932,1931.0,3659056983.0,True,1.396739130434832,3.4834443836584095
22,normal,3659056983,3659056983,671.9419999999946,481,480.0,3659056983.0,True,1.3969688149688035,0.5866306075615424
23,abuelito,3659056983,3659056983,164.54000000000002,181,180.0,3659056983.0,True,0.909060773480663,15.046924703384324
24,normal,1303897599,1303897599,437.7849999999978,318,317.0,1303897599.0,True,1.3766823899371001,4.14123876918434
25,normal,1303897599,1303897599,2714.9630000000952,1976,1975.0,1303897599.0,True,1.373969129554704,4.696728001557931
26,normal,3659056983,3659056983,436.20199999999795,327,326.0,3659056983.0,True,1.3339510703363853,8.959587659964733
27,normal,1303897599,1303897599,2581.0950000000867,1850,1849.0,1303897599.0,True,1.3951864864865333,0.8743962407280204
28,normal,3659056983,3659056983,360.4059999999989,261,260.0,3659056983.0,True,1.3808659003831376,2.1546287339328076
29,abuelito,10964742658,3659056983,2886.5,3600,,,False,0.8018055555555555,18.01183391439684
30,normal,3659056983,3659056983,1565.7800000000248,1159,1158.0,3659056983.0,True,1.350974978429702,5.1901160433094855
31,normal,1303897599,1303897599,2280.7240000000947,2043,2042.0,1303897599.0,True,1.1163602545277018,7.6028444162518225
32,normal,3659056983,3659056983,1365.50300000004,1374,1373.0,3659056983.0,True,0.9938158660844542,2.838865057618402
33,normal,3659056983,3659056983,1016.1149999999914,766,765.0,3659056983.0,True,1.3265208877284482,0.4345646413219073
34,normal,3659056983,3659056983,1387.421000000015,1044,1043.0,3659056983.0,True,1.3289473180076772,8.33392312035248
35,normal,3659056983,3659056983,362.52699999999913,260,259.0,3659056983.0,True,1.3943346153846121,0.34053225931376163
36,normal,3659056983,3659056983,170.8220000000004,128,127.0,3659056983.0,True,1.3345468750000031,4.566176679860118
37,normal,1303897599,1303897599,2837.9310000000974,2334,2333.0,1303897599.0,True,1.215908740359939,1.5856870131011802
38,normal,1303897599,1303897599,2612.375000000061,2178,2177.0,1303897599.0,True,1.1994375573921308,4.3948131927622205
39,normal,1303897599,1303897599,3254.413000000035,2829,2828.0,1303897599.0,True,1.1503757511488282,5.6153576884831775
40,normal,1303897599,1303897599,633.274999999994,482,481.0,1303897599.0,True,1.3138485477178299,9.132967796292878
41,normal,9375129877,1303897599,3704.399999999936,3600,,,False,1.0289999999999822,1.0707984014252014
42,normal,3659056983,3659056983,2989.1770000000183,2643,2642.0,3659056983.0,True,1.1309788119561175,2.1861059872315005
43,normal,3659056983,3659056983,1647.8270000000266,1235,1234.0,3659056983.0,True,1.3342728744939487,2.0686124147932814
44,normal,3659056983,3659056983,423.0679999999974,310,309.0,3659056983.0,True,1.3647354838709593,6.5870566761137015
45,normal,1303897599,1303897599,2974.935999999991,2585,2584.0,1303897599.0,True,1.1508456479690488,6.837570058884586
46,abuelito,3659056983,3659056983,1957.047,2271,2270.0,3659056983.0,True,0.8617556142668428,15.787974532971777
47,normal,1303897599,1303897599,593.697999999996,436,435.0,1303897599.0,True,1.3616926605504496,5.5356212692012985
48,normal,3659056983,3659056983,487.6939999999967,357,356.0,3659056983.0,True,1.3660896358543326,7.713474046106791
49,normal,3659056983,3659056983,2385.2560000000126,2285,2284.0,3659056983.0,True,1.043875711159743,6.13168056837707
50,normal,3659056983,3659056983,624.2679999999951,447,446.0,3659056983.0,True,1.3965727069351122,0.20954217092630456
51,normal,3659056983,3659056983,2966.0410000000647,2520,2519.0,3659056983.0,True,1.1770003968254226,7.049706963132076
52,normal,3659056983,3659056983,2096.0350000000853,2327,2326.0,3659056983.0,True,0.9007455951869726,7.299854859272219
53,normal,3659056983,3659056983,2051.649000000052,1726,1725.0,3659056983.0,True,1.1886726535342134,0.8260367845930716
54,normal,1303897599,1303897599,646.7939999999948,471,470.0,1303897599.0,True,1.3732356687897977,8.806211828152602
55,normal,1303897599,1303897599,3306.7909999999733,3065,3064.0,1303897599.0,True,1.078887765089714,9.087905162204471
56,normal,3659056983,3659056983,544.4689999999965,394,393.0,3659056983.0,True,1.3819010152284177,4.609971833564045
57,normal,3659056983,3659056983,487.25499999999676,367,366.0,3659056983.0,True,1.3276702997275116,6.960139471440073
58,normal,1303897599,1303897599,2111.419000000057,1635,1634.0,1303897599.0,True,1.2913877675841328,2.8658660740015396
59,normal,3926293325,1303897599,3711.39999999983,3600,,,False,1.0309444444443971,1.3202973410594165
60,normal,1303897599,1303897599,1943.9670000000472,1610,1609.0,1303897599.0,True,1.2074329192546878,7.345784735118271
61,normal,3659056983,3659056983,1592.0320000000233,1168,1167.0,3659056983.0,True,1.3630410958904309,9.681412171608198
62,normal,3659056983,3659056983,3480.7139999999486,3109,3108.0,3659056983.0,True,1.1195606304277737,5.959038600807242
63,abuelito,3659056983,3659056983,2136.436,2926,2925.0,3659056983.0,True,0.7301558441558442,12.32028131681572
64,normal,1303897599,1303897599,1901.6050000000432,1637,1636.0,1303897599.0,True,1.161640195479562,5.928819945914596
65,normal,1303897599,1303897599,1428.3160000000141,1027,1026.0,1303897599.0,True,1.3907653359299066,0.6529558468988839
66,normal,3659056983,3659056983,1656.4800000000275,1274,1273.0,3659056983.0,True,1.300219780219802,7.43303049924163
67,abuelito,290001449,1303897599,2627.8,3600,,,False,0.7299444444444445,13.656486921750375
68,normal,1303897599,1303897599,3088.8579999998883,2930,2929.0,1303897599.0,True,1.054217747440235,5.046071165374503
69,normal,1303897599,1303897599,2329.690000000014,2092,2091.0,1303897599.0,True,1.113618546845131,9.398874443829019
70,normal,3659056983,3659056983,181.37100000000046,137,136.0,3659056983.0,True,1.3238759124087625,6.692905907200537
71,normal,1303897599,1303897599,3202.3919999999052,3161,3160.0,1303897599.0,True,1.0130945903194892,0.1784603402926277
72,normal,3659056983,3659056983,520.9249999999965,383,382.0,3659056983.0,True,1.360117493472576,9.386294188111231
73,normal,3659056983,3659056983,1216.9250000000025,891,890.0,3659056983.0,True,1.3657968574635269,9.258699845690314
74,normal,3659056983,3659056983,726.1479999999962,548,547.0,3659056983.0,True,1.3250875912408688,0.18063223125337147
75,normal,3659056983,3659056983,861.4909999999932,634,633.0,3659056983.0,True,1.3588186119873709,0.8716336800844338
76,normal,3659056983,3659056983,785.3539999999928,588,587.0,3659056983.0,True,1.3356360544217565,1.555830943190234
77,normal,3659056983,3659056983,549.4229999999964,397,396.0,3659056983.0,True,1.3839370277077994,1.5760049719197444
78,normal,3659056983,3659056983,2020.8210000000554,1554,1553.0,3659056983.0,True,1.3003996138996496,9.020681619491212
79,normal,3659056983,3659056983,1844.4130000000425,1514,1513.0,3659056983.0,True,1.2182384412153517,5.731024009397751
80,normal,3659056983,3659056983,1007.3689999999942,781,780.0,3659056983.0,True,1.2898450704225277,2.972764619116367
81,abuelito,3659056983,3659056983,2377.981,2896,2895.0,3659056983.0,True,0.8211260359116023,22.088709711580222
82,normal,3659056983,3659056983,1633.6450000000336,1300,1299.0,3659056983.0,True,1.2566500000000258,2.537837144806275
83,normal,3659056983,3659056983,339.0999999999993,249,248.0,3659056983.0,True,1.3618473895582301,5.208698070324411
84,normal,3659056983,3659056983,1598.7210000000246,1219,1218.0,3659056983.0,True,1.311502050861382,5.664402834125209
85,normal,1303897599,1303897599,1912.0310000000445,1599,1598.0,1303897599.0,True,1.1957667292057814,3.3051706225340327
86,normal,1303897599,1303897599,2374.882000000072,1875,1874.0,1303897599.0,True,1.2666037333333717,5.52534185840833
87,normal,3659056983,3659056983,443.6099999999986,329,328.0,3659056983.0,True,1.3483586626139774,4.310309172964639
88,normal,3659056983,3659056983,2775.070999999994,2409,2408.0,3659056983.0,True,1.1519597343295949,8.898188239036225
89,normal,1303897599,1303897599,2883.016999999946,2562,2561.0,1303897599.0,True,1.125299375487879,9.502700061182999
90,normal,1303897599,1303897599,1968.233000000043,1592,1591.0,1303897599.0,True,1.2363272613065597,5.56526603011274
91,normal,1303897599,1303897599,2033.2040000000522,1532,1531.0,1303897599.0,True,1.3271566579634806,9.150975358626924
92,normal,3659056983,3659056983,235.79700000000062,178,177.0,3659056983.0,True,1.3247022471910148,8.420816437161816
93,normal,3659056983,3659056983,1593.5620000000245,1156,1155.0,3659056983.0,True,1.378513840830471,2.5682599049481967
94,abuelito,3659056983,3659056983,495.975,539,538.0,3659056983.0,True,0.9201762523191095,25.39891257805973
95,normal,3659056983,3659056983,765.1109999999961,586,585.0,3659056983.0,True,1.3056501706484576,3.7973880029078497
96,normal,3659056983,3659056983,126.05100000000024,99,98.0,3659056983.0,True,1.2732424242424267,7.19840759043001
97,normal,3659056983,3659056983,2749.273000000015,2286,2285.0,3659056983.0,True,1.2026566054243286,8.588837519848468
98,normal,1303897599,1303897599,2972.0969999999415,2624,2623.0,1303897599.0,True,1.1326589176829045,5.029840898913863
99,abuelito,3659056983,3659056983,740.482,771,770.0,3659056983.0,True,0.9604176394293126,10.589103678963363
